[ 2017-04-28T11:00:39+08:00 ] 127.0.0.1 /text/upload.html
[ 2017-04-28T11:00:39+08:00 ] /text/upload.html | INFO: Tag[ route_check ] --START--
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | NOTIC: [8] Undefined variable: pageseo 6bc9494a3d3fbb30173cab90e246fabb.php 第 8 行.
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | NOTIC: [8] Undefined variable: pageseo 6bc9494a3d3fbb30173cab90e246fabb.php 第 9 行.
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | NOTIC: [8] Undefined variable: pageseo 6bc9494a3d3fbb30173cab90e246fabb.php 第 10 行.
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Run ParseTemplate Behavior [ RunTime:0.059966s ]
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.059997s ]
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Tag[ view_filter ] --START--
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Run ContentReplace Behavior [ RunTime:0.000463s ]
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Run TokenBuild Behavior [ RunTime:0.000294s ]
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000232s ]
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Run ShowRuntime Behavior [ RunTime:0.000299s ]
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001362s ]
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Tag[ view_end ] --START--
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001325s ]
[ 2017-04-28T11:01:29+08:00 ] /Text/index1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001386s ]

[ 2017-04-28T11:01:32+08:00 ] 127.0.0.1 /text/upload.html
[ 2017-04-28T11:01:32+08:00 ] /text/upload.html | INFO: Tag[ route_check ] --START--
[ 2017-04-28T11:01:32+08:00 ] /text/upload.html | INFO: Run CheckRoute Behavior [ RunTime:0.000368s ]
[ 2017-04-28T11:01:32+08:00 ] /text/upload.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000439s ]
[ 2017-04-28T11:01:32+08:00 ] /text/upload.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-28T11:01:32+08:00 ] /text/upload.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-28T11:01:32+08:00 ] /text/upload.html | INFO: Tag[ app_begin ] --START--
[ 2017-04-28T11:01:32+08:00 ] /text/upload.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000339s ]
[ 2017-04-28T11:01:32+08:00 ] /text/upload.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000368s ]
[ 2017-04-28T11:01:32+08:00 ] /text/upload.html | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\www.dhgj.com\www\Lib\Action\CommonAction.class.php on line 130 and defined Action.class.php 第 305 行.
[ 2017-04-28T11:01:32+08:00 ] /text/upload.html | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-04-28T11:07:36+08:00 ] 127.0.0.1 /Text/index1
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | INFO: Tag[ route_check ] --START--
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | INFO: Run CheckRoute Behavior [ RunTime:0.000635s ]
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000732s ]
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | INFO: Tag[ app_begin ] --START--
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000451s ]
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000488s ]
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | INFO: Tag[ view_template ] --START--
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000560s ]
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000608s ]
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | INFO: Tag[ view_parse ] --START--
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-28T11:07:36+08:00 ] /Text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
